eta_rep,eta_W,momentum,decay_L2_goal,decay_L1_motor,motor_gain,damping,reaching_speed_scale,W_L2_goal_gain,W_L1_pos_gain,weight_decay,score
0.00121192463296075,2.63321983368896e-05,0.952164271513988,0.99,0.100892693348881,1,0.711876080199316,0.460970909671357,0.311927505462757,0.001,0.999,7.5486353635788
0.0001,3.43449462378258e-05,0.98,0.906148762978046,0.15814086421145,0.832761149631752,0.738123672294134,0.381571241939275,0.1,0.001,0.999,7.74292242527008
0.000153190509878078,3.26180130742324e-05,0.98,0.810569252115608,0.312879169729846,0.872596826639081,0.827278838883879,0.303360884480622,0.338029661562459,0.001,0.999,7.87189936637878
0.000151126591903374,2.97242607524976e-05,0.866592132929004,0.804474279744363,0.284866808517364,0.787236598707673,0.784042928190015,0.337381307503968,0.138260025581567,0.00460333276448594,0.69260117663669,8.25898087024689
0.00171089292382849,2.36595729953518e-05,0.98,0.641683561922217,0.2094473118382,1,0.70108394974825,0.271642187827294,0.441919429973069,0.00427932792932511,0.857102360347781,8.29618734121323
0.00444794595354234,2.59794270406902e-05,0.942447578131723,0.836272525512225,0.1,0.780539472771884,0.728159934472068,0.532843214308046,0.350893697237785,0.0364750273809472,0.979250321731598,8.55693387985229
0.00160542251381555,2.52982821239522e-05,0.9543184266102,0.99,0.218323558255033,1,0.7,0.2169242116065,0.315867010349978,0.00479205308753466,0.999,8.6777024269104
0.0001,2.06220643785127e-05,0.98,0.768724629027657,0.218037648955788,0.604619959248036,0.725331545366645,0.286510775994151,0.249465584272818,0.00103939120127588,0.999,8.73074799776077
0.0001,1.9908417180195e-05,0.98,0.640371063394318,0.16915541624757,0.56992340809579,0.740231600285799,0.321590051515715,0.138571331813809,0.001,0.999,8.76670622825623
0.0001,1.81014159951472e-05,0.98,0.944686207620025,0.193287684824138,0.567416258004501,0.7,0.202102852354801,0.311036184700771,0.001,0.999,8.90130656957626
0.0827897935290821,7.91242933575785e-06,0.837516256182085,0.290235429162581,0.495342822087755,0.21040481372201,0.880393578190756,0.265645066874583,0.1,0.0310063363432487,0.999,8.90144525468349
0.000145138955764632,1.69664009720423e-05,0.974393365133409,0.795945938123374,0.168974881512846,0.496625320382681,0.73637096220364,0.265304617315046,0.25134604550946,0.00874726080242716,0.999,9.0981593132019
0.0001,2.21154813091471e-05,0.98,0.769620859759699,0.199011278102091,0.72785140993394,0.725815590988601,0.459745805596842,0.22100056328385,0.00604499957884546,0.999,9.17821753025055
0.0001,3.22541338302585e-05,0.98,0.936111466008118,0.126753001110056,0.947633959988141,0.761709081015012,0.379362544876184,0.151237541289092,0.001,0.999,9.3093010187149
0.0001,1.55631997145334e-05,0.798413342376352,0.756096283496034,0.1,0.20046552113396,0.839377929586896,0.458531870375883,0.454614802554816,0.0143292010010323,0.999,9.43429812788963
0.0001,2.10909399065076e-05,0.98,0.784241370778713,0.198529354310151,0.674101813580599,0.738621213281802,0.13168889337234,0.164380576100428,0.001,0.999,9.47054040431976
0.0001,1.99766625045887e-05,0.98,0.805061835734538,0.1,0.919433915636594,0.702494512284257,0.44046701583447,0.223890911684377,0.00418264789774639,0.999,9.5443651676178
0.0001,3.33868742107424e-05,0.98,0.84293174760832,0.14602351312898,0.884940790868434,0.761695123276875,0.158388654548065,0.263794769017972,0.0102210261990827,0.985010473862611,9.56962060928345
0.000125246858750214,1.51760373738938e-06,0.701422252342487,0.132516180478549,0.122511989165625,0.110025935879214,0.706343825622778,0.134470246075635,0.134735987267174,0.00162414780344309,0.601556744863791,9.70552825927734
0.0001,1.57066401303992e-05,0.72151789561403,0.381821373777526,0.298116753912305,0.386226280100426,0.7,0.347740992423007,0.57350033088451,0.0227885746626175,0.621117617073825,9.76716074347496
